index,Positive predictive parity difference,Accuracy equality difference,Statistical parity difference,Equal opportunity difference,Negative predictive parity difference,Predictive equality difference,Predictive accuracy equality difference,Positive predictive equality difference,Negative predictive equality difference,gr
0,,,,,,,,,,0.0
1,0.05307692307692308,0.009230769230769232,0.009230769230769232,0.05307692307692308,0.05307692307692308,0.05307692307692308,0.004615384615384616,0.007115384615384615,0.007115384615384615,0.041656494140625
2,0.07126086956521739,0.031043478260869565,0.031043478260869565,0.07126086956521739,0.07126086956521739,0.07126086956521739,0.007,0.018608695652173914,0.018608695652173914,0.08331298828125
3,0.07737154150197628,0.03992094861660079,0.03992094861660079,0.07737154150197628,0.07737154150197628,0.07737154150197628,0.007855731225296442,0.024827075098814228,0.024827075098814228,0.125
4,0.07972896668548843,0.045736871823828344,0.045736871823828344,0.07972896668548843,0.07972896668548843,0.07972896668548843,0.010292812777284827,0.027813180608211665,0.027813180608211665,0.1666259765625
5,0.07956864564007421,0.0027829313543599257,0.0027829313543599257,0.07956864564007421,0.07956864564007421,0.07956864564007421,0.0026437847866419297,0.029336734693877552,0.029336734693877552,0.2083740234375
6,0.0796186895810956,0.05488721804511278,0.05488721804511278,0.0796186895810956,0.0796186895810956,0.0796186895810956,0.010499462943071965,0.030263157894736843,0.030263157894736843,0.25
7,0.07871345029239767,0.002105263157894737,0.002105263157894737,0.07871345029239767,0.07871345029239767,0.07871345029239767,0.0021637426900584797,0.030665204678362572,0.030665204678362572,0.291748046875
8,0.07818119273227632,0.06377708978328174,0.06377708978328174,0.07818119273227632,0.07818119273227632,0.07818119273227632,0.009894611752196891,0.03092222534946993,0.03092222534946993,0.333251953125
9,0.07754010695187166,0.022370766488413546,0.022370766488413546,0.07754010695187166,0.07754010695187166,0.07754010695187166,0.005414438502673796,0.03064282531194296,0.03064282531194296,0.375
10,0.07726758535582065,0.013543809132044426,0.013543809132044426,0.07726758535582065,0.07726758535582065,0.07726758535582065,0.004591731797614151,0.030650966680378446,0.030650966680378446,0.416748046875
11,0.07695251177394034,0.0016483516483516484,0.0016483516483516484,0.07695251177394034,0.07695251177394034,0.07695251177394034,0.001717032967032967,0.030695643642072213,0.030695643642072213,0.458251953125
12,0.07721772732761743,0.0865934065934066,0.0865934065934066,0.07721772732761743,0.07721772732761743,0.07721772732761743,0.016162299239222317,0.03101074749426398,0.03101074749426398,0.5
13,0.07695251177394034,0.0016483516483516484,0.0016483516483516484,0.07695251177394034,0.07695251177394034,0.07695251177394034,0.001717032967032967,0.030695643642072213,0.030695643642072213,0.54150390625
14,0.07726758535582065,0.013543809132044426,0.013543809132044426,0.07726758535582065,0.07726758535582065,0.07726758535582065,0.004591731797614151,0.030650966680378446,0.030650966680378446,0.58349609375
15,0.07754010695187166,0.022370766488413546,0.022370766488413546,0.07754010695187166,0.07754010695187166,0.07754010695187166,0.005414438502673796,0.03064282531194296,0.03064282531194296,0.625
16,0.07818119273227632,0.06377708978328174,0.06377708978328174,0.07818119273227632,0.07818119273227632,0.07818119273227632,0.009894611752196891,0.03092222534946993,0.03092222534946993,0.66650390625
17,0.07871345029239767,0.002105263157894737,0.002105263157894737,0.07871345029239767,0.07871345029239767,0.07871345029239767,0.0021637426900584797,0.030665204678362572,0.030665204678362572,0.70849609375
18,0.0796186895810956,0.05488721804511278,0.05488721804511278,0.0796186895810956,0.0796186895810956,0.0796186895810956,0.010499462943071965,0.030263157894736843,0.030263157894736843,0.75
19,0.07956864564007421,0.0027829313543599257,0.0027829313543599257,0.07956864564007421,0.07956864564007421,0.07956864564007421,0.0026437847866419297,0.029336734693877552,0.029336734693877552,0.79150390625
20,0.07972896668548843,0.045736871823828344,0.045736871823828344,0.07972896668548843,0.07972896668548843,0.07972896668548843,0.010292812777284827,0.027813180608211665,0.027813180608211665,0.83349609375
21,0.07737154150197628,0.03992094861660079,0.03992094861660079,0.07737154150197628,0.07737154150197628,0.07737154150197628,0.007855731225296442,0.024827075098814228,0.024827075098814228,0.875
22,0.07126086956521739,0.031043478260869565,0.031043478260869565,0.07126086956521739,0.07126086956521739,0.07126086956521739,0.007,0.018608695652173914,0.018608695652173914,0.91650390625
23,0.05307692307692308,0.009230769230769232,0.009230769230769232,0.05307692307692308,0.05307692307692308,0.05307692307692308,0.004615384615384616,0.007115384615384615,0.007115384615384615,0.95849609375
24,,,,,,,,,,1.0
