index,Positive predictive parity difference,Accuracy equality difference,Statistical parity difference,Equal opportunity difference,Negative predictive parity difference,Predictive equality difference,Predictive accuracy equality difference,Positive predictive equality difference,Negative predictive equality difference,gr
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0.5046153846153846,0.0,0.0,0.5046153846153846,0.5046153846153846,0.5046153846153846,0.5046153846153846,0.7545192307692308,0.7545192307692308,0.041656494140625
2,0.307,0.0,0.0,0.307,0.307,0.307,0.307,0.5097826086956522,0.5097826086956522,0.08331298828125
3,0.20869565217391303,0.0,0.0,0.20869565217391303,0.20869565217391303,0.20869565217391303,0.20869565217391303,0.3638092885375494,0.3638092885375494,0.125
4,0.15302089215132694,0.0,0.0,0.15302089215132694,0.15302089215132694,0.15302089215132694,0.15302089215132694,0.2743405662660321,0.2743405662660321,0.1666259765625
5,0.11873840445269017,0.0,0.0,0.11873840445269017,0.11873840445269017,0.11873840445269017,0.11873840445269017,0.21677875695732837,0.21677875695732837,0.2083740234375
6,0.09642857142857143,0.0,0.0,0.09642857142857143,0.09642857142857143,0.09642857142857143,0.09642857142857143,0.17827604726100968,0.17827604726100968,0.25
7,0.08140350877192983,0.0,0.0,0.08140350877192983,0.08140350877192983,0.08140350877192983,0.08140350877192983,0.15186403508771928,0.15186403508771928,0.291748046875
8,0.0711323763955343,0.0,0.0,0.0711323763955343,0.0711323763955343,0.0711323763955343,0.0711323763955343,0.13357725865465803,0.13357725865465803,0.333251953125
9,0.06417112299465241,0.0,0.0,0.06417112299465241,0.06417112299465241,0.06417112299465241,0.06417112299465241,0.12107286096256685,0.12107286096256685,0.375
10,0.05967194570135747,0.0,0.0,0.05967194570135747,0.05967194570135747,0.05967194570135747,0.05967194570135747,0.11294220485396957,0.11294220485396957,0.416748046875
11,0.05714285714285714,0.0,0.0,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.1083545918367347,0.1083545918367347,0.458251953125
12,0.0563265306122449,0.0,0.0,0.0563265306122449,0.0563265306122449,0.0563265306122449,0.0563265306122449,0.10687115082719478,0.10687115082719478,0.5
13,0.05714285714285714,0.0,0.0,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.1083545918367347,0.1083545918367347,0.54150390625
14,0.05967194570135747,0.0,0.0,0.05967194570135747,0.05967194570135747,0.05967194570135747,0.05967194570135747,0.11294220485396957,0.11294220485396957,0.58349609375
15,0.06417112299465241,0.0,0.0,0.06417112299465241,0.06417112299465241,0.06417112299465241,0.06417112299465241,0.12107286096256685,0.12107286096256685,0.625
16,0.0711323763955343,0.0,0.0,0.0711323763955343,0.0711323763955343,0.0711323763955343,0.0711323763955343,0.13357725865465803,0.13357725865465803,0.66650390625
17,0.08140350877192983,0.0,0.0,0.08140350877192983,0.08140350877192983,0.08140350877192983,0.08140350877192983,0.15186403508771928,0.15186403508771928,0.70849609375
18,0.09642857142857143,0.0,0.0,0.09642857142857143,0.09642857142857143,0.09642857142857143,0.09642857142857143,0.17827604726100968,0.17827604726100968,0.75
19,0.11873840445269017,0.0,0.0,0.11873840445269017,0.11873840445269017,0.11873840445269017,0.11873840445269017,0.21677875695732837,0.21677875695732837,0.79150390625
20,0.15302089215132694,0.0,0.0,0.15302089215132694,0.15302089215132694,0.15302089215132694,0.15302089215132694,0.2743405662660321,0.2743405662660321,0.83349609375
21,0.20869565217391303,0.0,0.0,0.20869565217391303,0.20869565217391303,0.20869565217391303,0.20869565217391303,0.3638092885375494,0.3638092885375494,0.875
22,0.307,0.0,0.0,0.307,0.307,0.307,0.307,0.5097826086956522,0.5097826086956522,0.91650390625
23,0.5046153846153846,0.0,0.0,0.5046153846153846,0.5046153846153846,0.5046153846153846,0.5046153846153846,0.7545192307692308,0.7545192307692308,0.95849609375
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
