index,Positive predictive parity difference,Accuracy equality difference,Statistical parity difference,Equal opportunity difference,Negative predictive parity difference,Predictive equality difference,Predictive accuracy equality difference,Positive predictive equality difference,Negative predictive equality difference,ir
0,0.21367521367521367,0.017094017094017096,0.017094017094017096,1.0,0.21367521367521367,0.017094017094017096,0.017094017094017096,0.21367521367521367,0.21367521367521367,0.0
1,0.16846153846153847,0.009230769230769232,0.009230769230769232,1.0,0.16846153846153847,0.018461538461538463,0.018461538461538463,0.1728846153846154,0.1728846153846154,0.041656494140625
2,0.141,0.006,0.006,0.6,0.141,0.02,0.02,0.1487391304347826,0.1487391304347826,0.08331298828125
3,0.12282608695652174,0.004347826086956522,0.004347826086956522,0.4,0.12282608695652174,0.021739130434782608,0.021739130434782608,0.13339920948616601,0.13339920948616601,0.125
4,0.1101072840203275,0.0033879164313946925,0.0033879164313946925,0.2857142857142857,0.1101072840203275,0.023715415019762844,0.023715415019762844,0.1233362910381544,0.1233362910381544,0.1666259765625
5,0.1008812615955473,0.0027829313543599257,0.0027829313543599257,0.21428571428571427,0.1008812615955473,0.025974025974025976,0.025974025974025976,0.11676716141001856,0.11676716141001856,0.2083740234375
6,0.09404761904761905,0.002380952380952381,0.002380952380952381,0.16666666666666666,0.09404761904761905,0.02857142857142857,0.02857142857142857,0.11271929824561404,0.11271929824561404,0.25
7,0.08894736842105264,0.002105263157894737,0.002105263157894737,0.13333333333333333,0.08894736842105264,0.031578947368421054,0.031578947368421054,0.11064327485380117,0.11064327485380117,0.291748046875
8,0.08516746411483253,0.0019138755980861245,0.0019138755980861245,0.10909090909090909,0.08516746411483253,0.03508771929824561,0.03508771929824561,0.11023548175250962,0.11023548175250962,0.333251953125
9,0.08244206773618538,0.0017825311942959,0.0017825311942959,0.09090909090909091,0.08244206773618538,0.0392156862745098,0.0392156862745098,0.11135249554367202,0.11135249554367202,0.375
10,0.08059954751131222,0.0016968325791855204,0.0016968325791855204,0.07692307692307693,0.08059954751131222,0.04411764705882353,0.04411764705882353,0.11397058823529412,0.11397058823529412,0.416748046875
11,0.07953296703296703,0.0016483516483516484,0.0016483516483516484,0.06593406593406594,0.07953296703296703,0.05,0.05,0.11817111459968603,0.11817111459968603,0.458251953125
12,0.07918367346938776,0.0016326530612244899,0.0016326530612244899,0.05714285714285714,0.07918367346938776,0.05714285714285714,0.05714285714285714,0.12414442700156986,0.12414442700156986,0.5
13,0.07953296703296703,0.0016483516483516484,0.0016483516483516484,0.05,0.07953296703296703,0.06593406593406594,0.06593406593406594,0.13221153846153846,0.13221153846153846,0.54150390625
14,0.08059954751131222,0.0016968325791855204,0.0016968325791855204,0.04411764705882353,0.08059954751131222,0.07692307692307693,0.07692307692307693,0.1428681612505142,0.1428681612505142,0.58349609375
15,0.08244206773618538,0.0017825311942959,0.0017825311942959,0.0392156862745098,0.08244206773618538,0.09090909090909091,0.09090909090909091,0.1568627450980392,0.1568627450980392,0.625
16,0.08516746411483253,0.0019138755980861245,0.0019138755980861245,0.03508771929824561,0.08516746411483253,0.10909090909090909,0.10909090909090909,0.17533227006911217,0.17533227006911217,0.66650390625
17,0.08894736842105264,0.002105263157894737,0.002105263157894737,0.031578947368421054,0.08894736842105264,0.13333333333333333,0.13333333333333333,0.2000438596491228,0.2000438596491228,0.70849609375
18,0.09404761904761905,0.002380952380952381,0.002380952380952381,0.02857142857142857,0.09404761904761905,0.16666666666666666,0.16666666666666666,0.233843537414966,0.233843537414966,0.75
19,0.1008812615955473,0.0027829313543599257,0.0027829313543599257,0.025974025974025976,0.1008812615955473,0.21428571428571427,0.21428571428571427,0.2815398886827458,0.2815398886827458,0.79150390625
20,0.1101072840203275,0.0033879164313946925,0.0033879164313946925,0.023715415019762844,0.1101072840203275,0.2857142857142857,0.2857142857142857,0.35177865612648224,0.35177865612648224,0.83349609375
21,0.12282608695652174,0.004347826086956522,0.004347826086956522,0.021739130434782608,0.12282608695652174,0.4,0.4,0.46141304347826084,0.46141304347826084,0.875
22,0.141,0.006,0.006,0.02,0.141,0.6,0.6,0.647,0.647,0.91650390625
23,0.16846153846153847,0.009230769230769232,0.009230769230769232,0.018461538461538463,0.16846153846153847,1.0,1.0,1.0,1.0,0.95849609375
24,0.21367521367521367,0.017094017094017096,0.017094017094017096,0.017094017094017096,0.21367521367521367,1.0,1.0,1.0,1.0,1.0
