index,Positive predictive parity difference,Accuracy equality difference,Statistical parity difference,Equal opportunity difference,Negative predictive parity difference,Predictive equality difference,Predictive accuracy equality difference,Positive predictive equality difference,Negative predictive equality difference,sr
0,0.18350930115635997,0.01256913021618904,0.01256913021618904,0.5188536953242836,0.18350930115635997,0.5188536953242836,0.5188536953242836,0.6018099547511312,0.6018099547511312,0.01000213623046875
1,0.25576923076923075,0.0,0.0,0.0,0.25576923076923075,0.0,0.0,0.25576923076923075,0.25576923076923075,0.0899658203125
2,0.18608695652173912,0.0,0.0,0.0,0.18608695652173912,0.0,0.0,0.18608695652173912,0.18608695652173912,0.1099853515625
3,0.17818574514038876,0.0,0.0,0.0,0.17818574514038876,0.0,0.0,0.17818574514038876,0.17818574514038876,0.1300048828125
4,0.14192663695577648,0.0,0.0,0.0,0.14192663695577648,0.0,0.0,0.14192663695577648,0.14192663695577648,0.1500244140625
5,0.11836128840730295,0.0,0.0,0.0,0.11836128840730295,0.0,0.0,0.11836128840730295,0.11836128840730295,0.1700439453125
6,0.10292673345118837,0.0,0.0,0.0,0.10292673345118837,0.0,0.0,0.10292673345118837,0.10292673345118837,0.18994140625
7,0.0947508896797153,0.0,0.0,0.007265717674970344,0.0947508896797153,0.007265717674970344,0.007265717674970344,0.10051527283511269,0.10051527283511269,0.2099609375
8,0.08221283134844411,0.0,0.0,0.010884876424638238,0.08221283134844411,0.010884876424638238,0.010884876424638238,0.09165706236393904,0.09165706236393904,0.22998046875
9,0.07818977429755873,0.0,0.0,0.014147529117588998,0.07818977429755873,0.014147529117588998,0.014147529117588998,0.09070869250509969,0.09070869250509969,0.25
10,0.07253247952712272,0.0,0.0,0.009543747306200357,0.07253247952712272,0.009543747306200357,0.009543747306200357,0.08098331383535497,0.08098331383535497,0.27001953125
11,0.06616978731139793,0.0,0.0,0.005765185550679098,0.06616978731139793,0.005765185550679098,0.005765185550679098,0.0711039551250422,0.0711039551250422,0.2900390625
12,0.06860822479145325,0.0,0.0,0.01934728523342602,0.06860822479145325,0.01934728523342602,0.01934728523342602,0.08546758378457486,0.08546758378457486,0.31005859375
13,0.060821494243449944,0.0,0.0,0.01134912919736241,0.060821494243449944,0.01134912919736241,0.01134912919736241,0.07085885618580247,0.07085885618580247,0.330078125
14,0.06004710491336893,0.0,0.0,0.012370869575356202,0.06004710491336893,0.012370869575356202,0.012370869575356202,0.07100715901406152,0.07100715901406152,0.35009765625
15,0.05863966314484255,0.0,0.0,0.02341711658185012,0.05863966314484255,0.02341711658185012,0.02341711658185012,0.07917646147089974,0.07917646147089974,0.3701171875
